"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Saquon Barkley","PHI","RB1","327.8","1,667.2","10.8","41.9","317.9","2.2","1.4","273.7"
"Bijan Robinson","ATL","RB2","304.1","1,418.5","11.4","57.7","438.4","2.2","1.4","264.4"
"Jahmyr Gibbs","DET","RB3","240.0","1,239.8","11.7","57.7","507.1","2.8","1.3","258.8"
"Derrick Henry","BAL","RB4","302.0","1,534.7","13.5","16.4","152.5","0.9","1.4","252.3"
"Ja'Marr Chase","CIN","WR1","1.6","12.7","0.0","120.7","1,586.1","12.2","0.6","232.2"
"Christian McCaffrey","SF","RB5","241.5","1,096.3","8.0","64.2","557.9","3.5","1.8","230.8"
"Jonathan Taylor","IND","RB6","310.4","1,412.1","10.6","28.6","205.1","1.3","1.6","230.1"
"Josh Jacobs","GB","RB7","290.6","1,232.4","11.5","38.1","315.9","1.5","1.5","229.2"
"Ashton Jeanty","LV","RB8","272.8","1,219.7","9.0","45.9","362.4","1.9","2.4","218.5"
"Kyren Williams","LAR","RB9","284.5","1,223.5","11.5","33.7","213.6","1.7","2.3","217.9"
"De'Von Achane","MIA","RB10","214.4","1,000.9","7.4","68.3","503.2","3.9","1.3","215.2"
"Bucky Irving","TB","RB11","241.6","1,137.3","8.5","44.5","343.8","1.7","1.4","206.3"
"Justin Jefferson","MIN","WR2","0.5","2.2","0.0","105.2","1,459.5","9.6","0.6","202.4"
"James Cook","BUF","RB12","232.1","1,087.7","9.7","31.4","259.0","1.9","1.4","201.6"
"Chase Brown","CIN","RB13","242.9","1,011.0","8.1","54.6","382.9","2.7","1.4","201.4"
"CeeDee Lamb","DAL","WR3","9.2","59.3","0.3","110.9","1,385.8","8.0","1.0","192.2"
"Puka Nacua","LAR","WR4","10.7","61.2","0.6","104.9","1,362.7","6.9","0.6","186.2"
"James Conner","ARI","RB14","218.1","986.0","8.1","40.8","313.0","1.7","1.4","185.3"
"Malik Nabers","NYG","WR5","2.6","12.2","0.0","107.0","1,343.3","8.2","0.6","183.8"
"Nico Collins","HOU","WR6","0.0","1.6","0.0","91.9","1,311.7","8.9","0.5","183.5"
"Kenneth Walker III","SEA","RB15","239.0","981.8","8.3","42.9","304.5","1.3","1.3","183.3"
"Brian Thomas Jr.","JAC","WR7","3.8","24.9","0.0","91.9","1,298.2","8.6","0.6","182.7"
"Chuba Hubbard","CAR","RB16","246.3","1,087.6","8.0","37.9","230.7","1.0","1.8","182.2"
"Omarion Hampton","LAC","RB17","225.0","977.7","8.5","35.7","276.8","1.5","2.1","181.2"
"Breece Hall","NYJ","RB18","221.3","988.7","5.8","46.4","380.0","2.1","1.9","180.6"
"Alvin Kamara","NO","RB19","222.5","923.9","5.3","62.2","469.1","2.0","1.3","180.0"
"Amon-Ra St. Brown","DET","WR8","1.9","12.6","0.1","110.3","1,263.2","8.8","0.9","178.9"
"A.J. Brown","PHI","WR9","0.0","0.0","0.0","84.9","1,243.6","8.4","0.9","172.7"
"Drake London","ATL","WR10","0.3","2.0","0.0","95.9","1,232.8","8.2","0.6","171.5"
"Tyreek Hill","MIA","WR11","7.2","40.7","0.1","94.2","1,182.6","7.7","0.6","168.3"
"David Montgomery","DET","RB20","199.1","836.7","9.0","31.4","257.7","0.9","1.0","166.7"
